Digit,Precision,Recall,F1,MCC
0,0.8342245989304813,0.7684729064039408,0.7999999999999999,0.780983679121929
1,0.8009259259259259,0.7972350230414746,0.7990762124711316,0.7766966036675157
2,0.8111888111888111,0.5497630331753555,0.6553672316384181,0.6399084691921065
3,0.728448275862069,0.7412280701754386,0.7347826086956522,0.7032123666587328
4,0.7666666666666667,0.8288288288288288,0.7965367965367967,0.7729489014053583
5,0.7244897959183674,0.7802197802197802,0.7513227513227514,0.7281126762062049
6,0.8009049773755657,0.815668202764977,0.8082191780821917,0.7866234782233693
7,0.7634854771784232,0.8,0.7813163481953291,0.7548318613169905
8,0.49145299145299143,0.5251141552511416,0.5077262693156732,0.45043766403438884
9,0.628,0.6796536796536796,0.6528066528066527,0.6099847799704772
[156.   4.   3.   1.   2.   7.   5.   7.  13.   5.],[  0. 173.   6.  11.   0.   6.   2.   0.  11.   8.],[  5.   4. 116.  22.  10.   4.  11.  14.  19.   6.],[  1.   2.   6. 169.   1.   9.   0.  15.  14.  11.],[  1.   2.   0.   0. 184.   0.   2.   0.  10.  23.],[  1.   7.   0.   9.   4. 142.   5.   1.  11.   2.],[  2.   3.   7.   0.   1.  14. 177.   2.  11.   0.],[  1.   0.   4.  11.   1.   0.   1. 184.  16.  12.],[ 11.  13.   1.   7.  10.  14.  13.   9. 115.  26.],[  9.   8.   0.   2.  27.   0.   5.   9.  14. 157.]
0.6855189673036642
